id,name,lat,long,dock_count,city,installation_date
2,San Jose Diridon Caltrain Station,37.329732,-121.90178200000001,27,San Jose,8/6/2013
3,San Jose Civic Center,37.330698,-121.888979,15,San Jose,8/5/2013
4,Santa Clara at Almaden,37.333988,-121.894902,11,San Jose,8/6/2013
5,Adobe on Almaden,37.331415,-121.8932,19,San Jose,8/5/2013
22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,8/15/2013
23,San Mateo County Center,37.487615999999996,-122.229951,15,Redwood City,8/15/2013
27,Mountain View City Hall,37.389218,-122.081896,15,Mountain View,8/16/2013
33,Rengstorff Avenue / California Street,37.400240999999994,-122.099076,15,Mountain View,8/16/2013
34,Palo Alto Caltrain Station,37.443988,-122.164759,23,Palo Alto,8/14/2013
75,Mechanics Plaza (Market at Battery),37.7913,-122.399051,19,San Francisco,8/25/2013
